"","foodcode","foodgroup"
"1","1003","whole_grain"
"2","1019","whole_grain"
"3","1055","whole_grain"
"4","1057","whole_grain"
"5","1058","whole_grain"
"6","1068","whole_grain"
"7","1069","whole_grain"
"8","1070","whole_grain"
"9","1071","whole_grain"
"10","1084","whole_grain"
"11","1075","whole_grain"
"12","1076","whole_grain"
"13","1077","whole_grain"
"14","25001","whole_grain"
"15","25002","whole_grain"
"16","25003","whole_grain"
"17","25004","whole_grain"
"18","25005","whole_grain"
"19","25006","whole_grain"
"20","25007","whole_grain"
"21","25008","whole_grain"
"22","25009","whole_grain"
"23","20001","vegetable_oil"
"24","20002","vegetable_oil"
"25","20003","vegetable_oil"
"26","20004","vegetable_oil"
"27","20005","vegetable_oil"
"28","20006","vegetable_oil"
"29","20007","vegetable_oil"
"30","20008","vegetable_oil"
"31","20009","vegetable_oil"
"32","20010","vegetable_oil"
"33","20013","vegetable_oil"
"34","20017","vegetable_oil"
"35","20018","vegetable_oil"
"36","20021","vegetable_oil"
"37","6001","fresh_fruit"
"38","6002","fresh_fruit"
"39","6003","fresh_fruit"
"40","6004","fresh_fruit"
"41","6005","fresh_fruit"
"42","6006","fresh_fruit"
"43","6007","fresh_fruit"
"44","6008","fresh_fruit"
"45","6009","fresh_fruit"
"46","6010","fresh_fruit"
"47","6011","fresh_fruit"
"48","6012","fresh_fruit"
"49","6013","fresh_fruit"
"50","6014","fresh_fruit"
"51","6015","fresh_fruit"
"52","6016","fresh_fruit"
"53","6018","fresh_fruit"
"54","6019","fresh_fruit"
"55","6020","fresh_fruit"
"56","6021","fresh_fruit"
"57","6025","fresh_fruit"
"58","6026","fresh_fruit"
"59","6027","fresh_fruit"
"60","6028","fresh_fruit"
"61","6029","fresh_fruit"
"62","6030","fresh_fruit"
"63","6031","fresh_fruit"
"64","6032","fresh_fruit"
"65","6033","fresh_fruit"
"66","10001","fresh_fruit"
"67","10002","fresh_fruit"
"68","10003","fresh_fruit"
"69","10004","fresh_fruit"
"70","10005","fresh_fruit"
"71","10006","fresh_fruit"
"72","10007","fresh_fruit"
"73","10008","fresh_fruit"
"74","10009","fresh_fruit"
"75","10010","fresh_fruit"
"76","10011","fresh_fruit"
"77","10012","fresh_fruit"
"78","10013","fresh_fruit"
"79","10014","fresh_fruit"
"80","10015","fresh_fruit"
"81","10016","fresh_fruit"
"82","10017","fresh_fruit"
"83","10018","fresh_fruit"
"84","10019","fresh_fruit"
"85","10020","fresh_fruit"
"86","10021","fresh_fruit"
"87","10022","fresh_fruit"
"88","10023","fresh_fruit"
"89","10024","fresh_fruit"
"90","10025","fresh_fruit"
"91","10026","fresh_fruit"
"92","10027","fresh_fruit"
"93","10028","fresh_fruit"
"94","10029","fresh_fruit"
"95","10030","fresh_fruit"
"96","10031","fresh_fruit"
"97","10032","fresh_fruit"
"98","10033","fresh_fruit"
"99","10034","fresh_fruit"
"100","10035","fresh_fruit"
"101","10036","fresh_fruit"
"102","10037","fresh_fruit"
"103","10038","fresh_fruit"
"104","10039","fresh_fruit"
"105","10040","fresh_fruit"
"106","10041","fresh_fruit"
"107","10042","fresh_fruit"
"108","10043","fresh_fruit"
"109","10044","fresh_fruit"
"110","10045","fresh_fruit"
"111","10046","fresh_fruit"
"112","10047","fresh_fruit"
"113","10048","fresh_fruit"
"114","10049","fresh_fruit"
"115","10050","fresh_fruit"
"116","10051","fresh_fruit"
"117","10052","fresh_fruit"
"118","10053","fresh_fruit"
"119","10054","fresh_fruit"
"120","10055","fresh_fruit"
"121","10056","fresh_fruit"
"122","10057","fresh_fruit"
