foodcode,foodgroup
11101,whole_grain
11102,ref_grain
11201,ref_grain
11202,ref_grain
11203,ref_grain
11204,ref_grain
11205,whole_grain
11301,ref_grain
11302,ref_grain
11303,ref_grain
11304,ref_grain
11305,ref_grain
11306,ref_grain
11307,ref_grain
11308,ref_grain
11309,ref_grain
11310,ref_grain
11311,ref_grain
11312,ref_grain
11401,ref_grain
11402,ref_grain
11403,ref_grain
11404,ref_grain
11405,ref_grain
11406,ref_grain
11407,ref_grain
11408,ref_grain
11409,ref_grain
11501,ref_grain
11502,ref_grain
12001,ref_grain
12101,ref_grain
12102,ref_grain
12103,ref_grain
12104,ref_grain
12105,ref_grain
12201,ref_grain
12202,ref_grain
12203,ref_grain
12204,ref_grain
12205,ref_grain
12206,ref_grain
12207,ref_grain
12208,ref_grain
12209,ref_grain
12210,ref_grain
12211,ref_grain
12212,whole_grain
12213,ref_grain
12301,ref_grain
12302,ref_grain
12303,ref_grain
12304,ref_grain
12305,ref_grain
12306,ref_grain
12401,ref_grain
12402,ref_grain
12403,ref_grain
12404,ref_grain
12405,ref_grain
12406,ref_grain
12407,ref_grain
13101,whole_grain
13102,whole_grain
13103,whole_grain
13104,ref_grain
13105,ref_grain
13106,ref_grain
13107,ref_grain
13201,ref_grain
14101,whole_grain
14201,ref_grain
14202,ref_grain
15101,whole_grain
15102,ref_grain
15103,whole_grain
15201,ref_grain
15202,ref_grain
19001,whole_grain
19002,ref_grain
19003,ref_grain
19004,ref_grain
19005,whole_grain
19006,whole_grain
19007,ref_grain
19008,whole_grain
19009,ref_grain
21101,
21102,
21103,
21201,
21202,
21203,
21204,
21301,
22101,
22102,
22103,
22104,
22105,
22106,
22107,
22201,
22202,
22203,
31101,bean
31102,bean
31103,bean
31201,bean
31202,bean
31203,bean
31204,bean
31205,bean
31301,bean
31302,bean
31303,bean
31304,bean
31305,bean
31401,bean
31402,bean
31403,bean
31404,bean
31501,bean
31502,bean
31503,bean
31504,bean
31505,bean
31506,bean
31507,bean
31508,bean
31509,bean
31510,bean
31511,bean
31512,bean
31513,bean
31514,bean
31515,bean
31516,bean
31517,bean
31518,bean
31519,bean
31520,bean
31521,bean
31522,bean
31523,bean
31524,bean
31525,bean
31526,bean
32101,bean
32102,bean
32201,bean
33101,bean
33201,bean
33202,bean
33203,bean
34101,bean
34102,bean
34103,bean
34104,bean
34105,bean
34106,bean
35101,bean
35102,bean
35103,bean
35104,bean
35105,bean
35201,bean
35202,bean
39101,bean
39102,bean
39201,bean
39202,bean
39203,bean
39301,bean
39302,bean
39901,bean
39902,bean
41101,vegetable
41102,vegetable
41103,vegetable
41104,vegetable
41105,vegetable
41106,vegetable
41107,vegetable
41108,vegetable
41109,vegetable
41110,vegetable
41201,vegetable
41202,vegetable
41203,vegetable
41301,vegetable
41302,vegetable
41401,vegetable
42101,vegetable
42102,vegetable
42103,vegetable
42104,vegetable
42105,vegetable
42106,vegetable
42107,vegetable
42108,vegetable
42109,vegetable
42110,vegetable
42111,vegetable
42112,vegetable
42113,vegetable
42114,vegetable
42115,vegetable
42116,vegetable
42117,vegetable
42201,vegetable
42202,vegetable
42203,vegetable
42204,vegetable
43101,vegetable
43102,vegetable
43103,vegetable
43104,vegetable
43105,vegetable
43106,vegetable
43107,vegetable
43108,vegetable
43109,vegetable
43110,vegetable
43111,vegetable
43112,vegetable
43113,vegetable
43114,vegetable
43201,vegetable
43202,vegetable
43203,vegetable
43204,vegetable
43205,vegetable
43206,vegetable
43207,vegetable
43208,vegetable
43209,vegetable
43210,vegetable
43211,vegetable
43212,vegetable
43213,vegetable
43214,vegetable
43215,vegetable
43216,vegetable
43217,vegetable
43218,vegetable
43219,vegetable
43220,vegetable
44101,garlic
44102,garlic
44103,garlic
44104,garlic
44105,garlic
44106,garlic
44107,garlic
44201,vegetable
44202,vegetable
44203,vegetable
44204,vegetable
44205,vegetable
44301,vegetable
44302,vegetable
44303,vegetable
44401,vegetable
44402,vegetable
44403,vegetable
44501,vegetable
44502,vegetable
45101,vegetable
45102,vegetable
45103,vegetable
45104,vegetable
45105,vegetable
45106,salt_pre
45107,vegetable
45108,vegetable
45109,vegetable
45110,vegetable
45111,vegetable
45112,vegetable
45113,vegetable
45114,vegetable
45115,vegetable
45116,vegetable
45201,vegetable
45202,vegetable
45203,vegetable
45204,vegetable
45205,vegetable
45206,vegetable
45207,vegetable
45208,vegetable
45209,vegetable
45301,vegetable
45302,vegetable
45303,vegetable
45304,vegetable
45305,vegetable
45306,vegetable
45307,vegetable
45308,vegetable
45309,vegetable
45310,vegetable
45311,vegetable
45312,vegetable
45313,vegetable
45314,vegetable
45315,vegetable
45316,vegetable
45317,vegetable
45318,vegetable
45319,vegetable
45320,vegetable
45321,vegetable
45322,vegetable
45323,vegetable
45324,vegetable
45325,vegetable
45326,vegetable
45401,vegetable
45402,vegetable
45403,vegetable
45404,vegetable
45405,vegetable
45406,vegetable
45407,vegetable
45408,vegetable
45409,vegetable
45410,vegetable
45411,vegetable
45412,vegetable
45413,vegetable
45414,vegetable
46001,vegetable
46002,vegetable
46003,vegetable
46004,vegetable
46005,vegetable
46006,vegetable
46007,vegetable
46008,vegetable
46009,vegetable
47101,vegetable
47102,vegetable
47103,vegetable
47104,vegetable
47105,vegetable
47201,vegetable
47202,vegetable
47301,vegetable
47302,vegetable
47303,vegetable
47304,vegetable
48001,vegetable
48002,vegetable
48003,vegetable
48004,vegetable
48005,vegetable
48006,vegetable
48007,vegetable
48008,vegetable
48009,vegetable
48010,vegetable
48011,vegetable
48012,vegetable
48013,vegetable
48014,vegetable
48015,vegetable
48016,vegetable
48017,vegetable
48018,vegetable
48019,vegetable
48020,vegetable
48021,vegetable
48022,vegetable
48023,vegetable
48024,vegetable
48025,vegetable
48026,vegetable
48027,vegetable
48028,vegetable
48029,vegetable
48030,vegetable
48031,vegetable
48032,vegetable
48033,vegetable
48034,vegetable
48035,vegetable
48036,vegetable
48037,vegetable
48038,vegetable
48039,vegetable
48040,vegetable
48041,vegetable
48042,vegetable
48043,vegetable
48044,vegetable
48045,vegetable
48046,vegetable
48047,vegetable
48048,vegetable
48049,vegetable
48050,vegetable
48051,vegetable
48052,vegetable
48053,vegetable
48054,vegetable
48055,vegetable
48056,vegetable
48057,vegetable
48058,vegetable
48059,vegetable
48060,vegetable
48061,vegetable
48062,vegetable
48063,vegetable
48064,vegetable
48065,vegetable
48066,vegetable
48067,vegetable
48068,vegetable
48069,vegetable
48070,vegetable
48071,vegetable
48072,vegetable
48073,vegetable
48074,vegetable
48075,vegetable
48076,vegetable
48077,vegetable
48078,vegetable
48079,vegetable
48080,vegetable
51001,vegetable
51002,vegetable
51003,vegetable
51004,vegetable
51005,vegetable
51006,vegetable
51007,vegetable
51008,vegetable
51009,vegetable
51010,vegetable
51011,vegetable
51012,vegetable
51013,vegetable
51014,vegetable
51015,vegetable
51016,vegetable
51017,vegetable
51018,vegetable
51019,vegetable
51020,vegetable
51021,vegetable
51022,vegetable
51023,vegetable
51024,vegetable
51025,vegetable
51026,vegetable
51027,vegetable
52001,vegetable
52002,vegetable
52003,vegetable
52004,vegetable
52005,vegetable
52006,vegetable
52007,vegetable
52008,vegetable
61101,fresh_fruit
61102,fresh_fruit
61103,fresh_fruit
61104,fresh_fruit
61105,fresh_fruit
61106,fresh_fruit
61107,fresh_fruit
61108,fresh_fruit
61109,fresh_fruit
61110,fresh_fruit
61111,fresh_fruit
61112,fresh_fruit
61113,fresh_fruit
61114,fresh_fruit
61115,fresh_fruit
61116,fresh_fruit
61117,fresh_fruit
61118,fresh_fruit
61119,fresh_fruit
61201,fresh_fruit
61202,fresh_fruit
61203,fresh_fruit
61204,fresh_fruit
61205,fresh_fruit
61206,fresh_fruit
61207,fresh_fruit
61208,fresh_fruit
61209,fresh_fruit
61210,fresh_fruit
61211,fresh_fruit
61212,fresh_fruit
61213,fresh_fruit
61214,fresh_fruit
61215,fresh_fruit
61216,fresh_fruit
61217,fresh_fruit
61218,fresh_fruit
61219,fresh_fruit
61220,fresh_fruit
61221,fresh_fruit
61222,fresh_fruit
61223,fresh_fruit
61224,fresh_fruit
61225,fresh_fruit
61226,fresh_fruit
61227,fresh_fruit
61228,fresh_fruit
61229,fresh_fruit
61301,fresh_fruit
61302,fresh_fruit
61901,fresh_fruit
61902,fresh_fruit
61903,fresh_fruit
61904,fresh_fruit
61905,fresh_fruit
61906,fresh_fruit
62101,fresh_fruit
62102,fresh_fruit
62103,fresh_fruit
62104,fresh_fruit
62105,fresh_fruit
62106,fresh_fruit
62107,fresh_fruit
62108,fresh_fruit
62109,fresh_fruit
62110,fresh_fruit
62111,fresh_fruit
62112,fresh_fruit
62113,fresh_fruit
62114,fresh_fruit
62201,fresh_fruit
62202,fresh_fruit
62203,fresh_fruit
62204,fresh_fruit
62205,fresh_fruit
62206,fresh_fruit
62301,fresh_fruit
62302,fresh_fruit
62303,fresh_fruit
62304,fresh_fruit
62305,fresh_fruit
62306,fresh_fruit
62307,fresh_fruit
62308,fresh_fruit
62309,fresh_fruit
62310,fresh_fruit
62311,fresh_fruit
62901,fresh_fruit
62902,fresh_fruit
62903,fresh_fruit
63101,fresh_fruit
63102,fresh_fruit
63103,fresh_fruit
63104,fresh_fruit
63105,fresh_fruit
63106,fresh_fruit
63107,fresh_fruit
63201,fresh_fruit
63202,fresh_fruit
63203,fresh_fruit
63204,fresh_fruit
63301,fresh_fruit
63302,fresh_fruit
63303,fresh_fruit
63304,fresh_fruit
63901,fresh_fruit
63902,fresh_fruit
63903,fresh_fruit
63904,fresh_fruit
63905,fresh_fruit
63906,fresh_fruit
63907,fresh_fruit
63908,fresh_fruit
63909,fresh_fruit
63910,fresh_fruit
64101,fresh_fruit
64201,fresh_fruit
64202,fresh_fruit
64203,fresh_fruit
64204,fresh_fruit
64205,fresh_fruit
64206,fresh_fruit
64207,fresh_fruit
64208,fresh_fruit
64209,fresh_fruit
64210,fresh_fruit
64211,fresh_fruit
64301,fresh_fruit
64302,fresh_fruit
65001,fresh_fruit
65002,fresh_fruit
65003,fresh_fruit
65004,fresh_fruit
65005,fresh_fruit
65006,fresh_fruit
65007,fresh_fruit
65008,fresh_fruit
65009,fresh_fruit
65010,fresh_fruit
65011,fresh_fruit
65012,fresh_fruit
65013,fresh_fruit
65014,fresh_fruit
65015,fresh_fruit
65016,fresh_fruit
65017,fresh_fruit
65018,fresh_fruit
65019,fresh_fruit
65020,fresh_fruit
66101,fresh_fruit
66102,fresh_fruit
66103,fresh_fruit
66104,fresh_fruit
66105,fresh_fruit
66106,fresh_fruit
66107,fresh_fruit
66108,fresh_fruit
66201,fresh_fruit
66202,fresh_fruit
66203,fresh_fruit
66204,fresh_fruit
66205,fresh_fruit
71001,nut
71002,nut
71003,nut
71004,nut
71005,nut
71006,nut
71007,nut
71008,nut
71009,nut
71010,nut
71011,nut
71012,nut
71013,nut
71014,nut
71015,nut
71016,nut
71017,nut
71018,nut
71019,nut
71020,nut
71021,nut
71022,nut
71023,nut
71024,nut
71025,nut
72001,nut
72002,nut
72003,nut
72004,nut
72005,nut
72006,nut
72007,nut
72008,nut
72009,nut
72010,nut
72011,nut
72012,nut
72013,nut
72014,nut
72015,nut
72016,nut
72017,nut
72018,nut
72019,nut
81101,meat
81102,meat
81103,meat
81104,meat
81105,meat
81106,meat
81107,meat
81108,meat
81109,meat
81110,meat
81111,meat
81112,meat
81113,meat
81114,meat
81115,meat
81116,meat
81117,meat
81118,meat
81119,meat
81120,meat
81201,meat
81202,meat
81203,meat
81204,meat
81205,meat
81206,meat
81207,meat
81208,meat
81209,meat
81210,meat
81211,meat
81212,meat
81301,meat
81302,meat
81303,meat
81304,meat
81305,meat
81306,meat
81307,meat
81308,meat
81309,meat
81310,meat
81311,meat
81312,meat
81313,meat
81314,meat
81315,meat
81316,meat
81317,meat
81401,meat
81402,meat
81403,meat
81404,meat
81405,meat
81406,meat
81407,meat
81408,meat
81409,meat
81410,meat
81411,meat
81412,meat
81413,meat
81414,meat
81415,meat
81416,meat
81417,meat
81418,meat
81419,meat
81420,meat
81421,meat
81422,meat
82101,meat
82102,meat
82103,meat
